#{"t_start": 1745328176.835186, "env_id": "None"}
r,l,t
742.642396,44,48.354226
420.394798,26,48.471916
466.375142,40,48.646298
326.86625,26,48.762434
553.627371,38,48.940015
330.131731,26,49.079921
519.720725,39,49.245764
383.993891,25,49.355323
591.195133,34,52.603754
447.049017,26,52.724748
638.384403,38,52.892719
578.759988,31,53.032027
459.67693,30,53.158136
960.878496,46,53.348685
632.437559,32,53.49642
451.873738,35,53.664247
713.972166,37,53.835121
487.97591,33,53.97805
407.713562,30,54.12565
369.384275,31,54.25163
539.269324,35,54.411608
612.116705,36,54.56727
566.885561,33,54.722355
914.773043,44,54.954376
440.145327,26,55.083034
311.775309,24,55.223555
569.038869,38,55.401866
475.602641,27,55.530884
349.804118,37,55.721963
413.648111,29,55.853764
495.814227,34,56.00358
549.989014,28,56.144516
527.898497,33,56.322666
611.373368,28,56.455193
433.050692,27,56.580385
461.482438,33,56.733605
353.816789,30,56.869467
743.615498,40,57.031426
708.695552,35,57.188624
497.192719,32,57.334698
366.299424,24,57.459077
399.044781,38,57.633007
568.112074,39,57.824411
319.193261,24,57.94803
402.456308,24,58.065839
360.906695,29,58.199909
556.188394,34,58.358774
243.597635,30,58.506693
544.404552,34,58.662709
648.210996,39,58.826996
225.952165,37,59.645954
470.975861,30,59.798827
458.826149,29,59.93292
360.230602,27,60.063208
614.419331,35,60.223547
532.561703,37,60.400239
400.6522,25,60.527138
490.339376,31,60.672878
502.758215,29,60.816508
1069.498645,51,61.026694
500.078969,35,61.179232
447.247451,35,61.333104
583.342332,34,61.485378
377.003645,26,67.171555
433.487364,30,67.310472
759.570077,39,67.470364
607.242426,42,67.634854
308.974531,29,67.767338
726.849894,42,67.950986
542.169861,41,68.135162
632.815065,33,71.459995
726.068131,34,71.618882
340.163604,30,71.745407
-116.521415,39,71.905344
799.87221,40,72.083875
343.368639,24,72.197912
518.520272,40,72.360977
299.468595,23,72.471781
488.707089,33,72.612141
460.45017,35,72.791413
406.464506,25,72.908875
417.949308,30,73.044565
419.44613,27,73.174403
882.294793,51,73.389963
1062.605114,52,73.623236
390.600719,25,73.743265
551.564166,36,73.896791
761.738164,51,74.107548
421.658505,29,74.257482
492.834721,33,74.397211
731.829499,35,74.554894
278.800828,35,74.712722
790.414897,39,74.901255
573.501995,39,75.073493
399.136017,26,75.195135
463.883876,32,75.346432
399.145081,25,75.479929
668.32573,35,75.643826
744.712794,33,75.791683
447.538992,30,75.940039
791.832553,42,76.113775
527.580748,35,76.272698
713.277048,41,76.453769
537.642248,33,76.595313
468.782551,37,76.758303
380.725652,26,76.878835
498.161831,27,77.001082
450.495886,28,77.140646
339.523474,32,77.285019
852.703089,54,77.506377
460.272279,31,77.659443
-151.588995,31,77.794851
690.64146,39,77.967001
382.62808,26,78.106374
880.469629,38,78.281126
360.50702,23,78.392222
491.386098,29,78.523278
412.569683,26,78.656789
863.324105,38,78.816145
494.555594,34,78.969837
447.887334,31,79.111109
580.667432,40,79.278123
953.967191,42,79.462547
722.773634,46,79.648111
735.468299,41,79.829768
382.016799,31,79.965528
591.756747,37,80.133422
319.184147,22,80.245925
796.142598,44,80.436015
764.895561,41,83.848921
687.028819,47,84.049511
366.537416,30,84.188524
-34.425607,41,84.374299
598.596384,38,84.530822
476.722499,29,84.667268
678.38598,37,84.823368
524.220454,30,84.967116
1424.004237,59,85.202941
727.824612,42,85.377624
575.992167,30,85.51333
649.863146,34,85.657418
422.680772,29,85.782938
683.61274,37,85.940187
437.074191,30,86.090822
407.78999,30,86.225889
206.520927,36,86.389983
895.128036,40,86.562119
403.536332,31,86.699371
645.07692,37,86.847872
463.917828,31,86.983328
372.916104,28,87.122726
380.030494,25,87.242978
566.176413,38,87.40696
656.381349,40,87.576149
559.664368,31,87.710539
736.111237,36,87.865178
578.995172,33,88.006365
891.272378,48,88.192766
1102.656091,52,88.411458
665.495443,36,88.561571
505.923001,39,88.72023
611.079462,31,88.86414
425.769693,29,88.986895
885.109513,42,89.158204
252.2007,22,89.260154
520.909454,31,89.412842
602.664614,34,89.571295
356.576304,35,89.724513
503.715602,32,89.859611
519.97926,33,90.007391
380.737327,23,90.108199
522.166708,38,90.268889
465.742795,31,90.413222
425.791753,27,90.537523
241.864821,37,91.356745
690.792522,41,91.538176
629.55318,35,91.687704
496.208089,35,91.840397
309.167496,29,91.973204
796.952638,45,92.167623
785.780137,40,92.340938
274.48091,28,92.467514
933.583329,47,92.65038
679.013006,38,92.812694
561.225321,39,92.978718
546.230405,33,93.121963
570.524213,32,93.258497
331.682053,27,93.398501
472.207744,30,96.658051
505.680822,37,96.811563
497.858811,35,96.961609
461.873935,36,97.115355
356.725307,33,97.260614
